,Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,mean,Total SqKm,Change,Change_Pct
33,Canada,CAN,Forest area (sq. km),AG.LND.FRST.K2,3482730.0,3482259.0625,3481788.125,3481316.875,3480845.9375,3480375.0,3479904.0625,3479433.125,3478961.875,3478490.9375,3478020.0,3477568.125,3477115.9375,3476664.0625,3476211.875,3475760.0,3475211.875,3474664.0625,3474115.9375,3473568.125,3473020.0,3472554.0625,3472088.125,3471621.875,3471155.9375,3470690.0,3470224.0625,3476531.8171296297,9093510.0,12505.9375,0.003597245231118128
34,Central Europe and the Baltics,CEB,Forest area (sq. km),AG.LND.FRST.K2,352930.0,353266.99829101603,354123.996582031,354742.001953125,355346.00097656297,355950.0,356553.99902343797,357157.998046875,357762.001953125,358366.00097656297,358970.0,360415.99975586,361862.001953125,363307.998046875,364754.00024414103,366200.0,367255.99487304705,368311.99829101603,369368.001708985,370424.00512695295,371480.0,372650.00366210897,373820.002441406,374989.997558594,376159.99633789103,377330.0,378500.00366210897,364148.11116536474,1105054.00146484,-25570.003662108968,-0.07021869090650665
35,Switzerland,CHE,Forest area (sq. km),AG.LND.FRST.K2,11510.0,11553.0004882813,11595.999755859399,11639.000244140601,11681.9995117188,11725.0,11768.0004882813,11810.999755859399,11854.000244140601,11896.9995117188,11940.0,11985.999755859399,12031.9995117188,12078.0004882813,12124.000244140601,12170.0,12205.999755859399,12241.9995117188,12278.0004882813,12314.000244140601,12350.0,12388.0004882813,12425.999755859399,12464.000244140601,12501.9995117188,12540.0,12578.0004882813,12061.222240306735,39516.0009765625,-1068.000488281299,-0.08854828034858747
36,Channel Islands,CHI,Forest area (sq. km),AG.LND.FRST.K2,8.00000011920929,8.00000011920929,8.00000011920929,8.00000011920929,8.00000011920929,8.00000011920929,8.00000011920929,8.00000011920929,8.00000011920929,8.00000011920929,8.00000011920929,8.00000011920929,8.00000011920929,8.00000011920929,8.00000011920929,8.00000011920929,8.00000011920929,8.00000011920929,8.00000011920929,8.00000011920929,8.00000011920929,8.00000011920929,8.00000011920929,8.00000011920929,8.00000011920929,8.00000011920929,8.00000011920929,8.00000011920929,197.999992370605,0.0,0.0
37,Chile,CHL,Forest area (sq. km),AG.LND.FRST.K2,152630.0,153200.99609375,153772.001953125,154342.998046875,154914.00390625,155485.0,156055.99609375,156627.001953125,157197.998046875,157769.00390625,158340.0,158755.99609375,159172.001953125,159587.998046875,160004.00390625,160420.0,160797.998046875,161175.99609375,161554.00390625,161932.001953125,162310.0,165318.0078125,168325.99609375,171334.00390625,174341.9921875,177350.0,180358.0078125,161224.92621527778,743532.03125,-27728.0078125,-0.17198338038297997
38,China,CHN,Forest area (sq. km),AG.LND.FRST.K2,1571405.9375,1591265.9375,1611125.78125,1630985.625,1650845.625,1670705.46875,1690565.46875,1710425.3125,1730285.15625,1750145.15625,1770005.0,1802091.875,1834178.59375,1866265.46875,1898352.1875,1930439.0625,1945571.875,1960704.53125,1975837.34375,1990970.15625,2006102.96875,2021525.0,2036947.03125,2052369.0625,2067790.9375,2083212.96875,2098635.0,1849953.8715277778,9388210.0,-527229.0625,-0.2849957886055774
39,Cote d'Ivoire,CIV,Forest area (sq. km),AG.LND.FRST.K2,102220.0,102325.99609375,102432.001953125,102537.998046875,102644.00390625,102750.0,102855.99609375,102962.001953125,103067.998046875,103174.00390625,103280.0,103434.00390625,103587.998046875,103742.001953125,103895.99609375,104050.0,104045.99609375,104042.001953125,104037.998046875,104034.00390625,104030.0,104025.99609375,104022.001953125,104017.998046875,104014.00390625,104010.0,104005.99609375,103453.55541087964,318000.0,-1785.99609375,-0.017263747839856035
40,Cameroon,CMR,Forest area (sq. km),AG.LND.FRST.K2,243160.0,240960.0,238760.0,236560.0,234360.0,232160.0,229960.0,227760.0,225560.0,223360.0,221160.0,218960.0,216760.0,214560.0,212360.0,210160.0,207960.0,205760.0,203560.0,201360.0,199160.0,196960.0,194760.0,192560.0,190360.0,188160.0,185960.0,214560.0,472710.0,57200.0,0.26659209545115586
41,"Congo, Dem. Rep.",COD,Forest area (sq. km),AG.LND.FRST.K2,1603630.0,1600515.9375,1597402.03125,1594287.96875,1591174.0625,1588060.0,1584945.9375,1581832.03125,1578717.96875,1575604.0625,1572490.0,1569375.9375,1566262.03125,1563147.96875,1560034.0625,1556920.0,1553805.9375,1550692.03125,1547577.96875,1544464.0625,1541350.0,1538235.9375,1535122.03125,1532007.96875,1528894.0625,1525780.0,1522665.9375,1563147.9976851852,2267050.0,80964.0625,0.0517955194389124
42,"Congo, Rep.",COG,Forest area (sq. km),AG.LND.FRST.K2,227260.0,227090.0,226920.0,226750.0,226580.0,226410.0,226240.0,226070.0,225900.0,225730.0,225560.0,225390.0,225220.0,225050.0,224880.0,224710.0,224590.0,224470.0,224350.0,224230.0,224110.0,223955.99609375,223801.9921875,223648.0078125,223494.00390625,223340.0,223185.99609375,225145.77763310185,341500.0,4074.00390625,0.018094960292300073
